Species,Family,Habit,CommonName
Pinus contorta,Pinaceae,T,"Lodgepole Pine, Beach Pine"
Pinus jeffreyi,Pinaceae,T,Jeffrey Pine
Pinus lambertiana,Pinaceae,T,Sugar Pine
Pinus monophylla,Pinaceae,T,Singleleaf Pinyon Pine
Pinus ponderosa,Pinaceae,T,Ponderosa Pine
Pinus radiata,Pinaceae,T,Monterey Pine
Pinus sabiniana,Pinaceae,T,Gray or Foothill Pine
Plantago erecta,Plantaginaceae,AH,California Plantain
Plantago lanceolata,Plantaginaceae,PH,Narrowleaf or English Plantain
Plantago major,Plantaginaceae,PH,Broadleaf Plantain
Platanthera dilatata,Orchidaceae,PH,Sierra Bog Orchid
Platanus racemosa,Platanaceae,T,California or Western Sycamore
Platystemon californicus,Papaveraceae,AH,Cream Cups
Poa bulbosa,Poaceae,PG,Bulbous Bluegrass
Poa pratensis,Poaceae,PG,Kentucy Bluegrass
Poa secunda,Poaceae,PG,One-sided Bluegrass
Pogogyne,Lamiaceae,AH,Mesamint
Polygala cornuta,Polygalaceae,S,Milkwort
Polypodium,Polypodiaceae,PF,Polypody Fern
Polypogon monspeliensis,Poaceae,AG,Rabbistsfoot or Annual Beardgrass
Polystichum,Dryopteridaceae,PF,Sword Ferns
Populus fremontii,Salicaceae,T,Fremont Cottonwood
Populus tremuloides,Salicaceae,T,Quaking Aspen
Populus trichocarpa,Salicaceae,T,Black Cottonwood
Portulaca oleracea,Portulacaceae,AH,Common Purslane
Primula hendersonii,Primulaceae,PH,Henderson's Shooting-star
Primula jeffreyi,Primulaceae,PH,Sierra Shooting-star
Prosopis glandulosa,Fabaceae,S/T,Honey Mesquite
Prunella vulgaris,Lamiaceae,PH,Selfheal
Prunus emarginata,Rosaceae,S,Bitter Cherry
Prunus ilicifolia,Rosaceae,S,Hollyleaf Cherry
Prunus virginiana,Rosaceae,S,Western Chokecherry
Pseudognaphalium californicum,Asteraceae,A/BH,Green Everlasting
Pseudognaphalium luteoalbum,Asteraceae,AH,Cudweed Everlasting
Pseudognaphalium microcephalum,Asteraceae,AH,White Everlasting
Pseudognaphalium stramineum,Asteraceae,A/BH,"Western Everlasting, Cotton-batting"
Pseudotsuga menziesii,Pinaceae,T,Douglas-fir
Psorothamnus spinosus,Fabaceae,T,Smoke Tree
Pteridium aquilinum,Dennstaedtiaceae,PF,Western Brackenfern
Pterospora andromedea,Ericaceae,PH,Pinedrops
Purshia tridentata,Rosaceae,S,Bitterbrush
Quercus agrifolia,Fagaceae,T,Coast Live Oak
Quercus berberidifolia,Fagaceae,S,California Scrub Oak
Quercus chrysolepis,Fagaceae,T,Canyon Live or Goldencup Oak
Quercus douglasii,Fagaceae,T,Blue Oak
Quercus garryana,Fagaceae,T,Oregon White Oak
Quercus john-tuckeri,Fagaceae,S,"Tucker Oak, Desert Scrub Oak"
Quercus kelloggii,Fagaceae,T,Black Oak
Quercus lobata,Fagaceae,T,Valley Oak
Quercus vaccinifolia,Fagaceae,S,Huckleberry Oak
Quercus wislizeni,Fagaceae,T,Interior Live Oak
Rafinesquia californica,Asteraceae,AH,California Rafinesquia or Chicory
Ranunculus occidentalis,Ranunculaceae,PH,Western Buttercup
Raphanus sativus,Brassicaceae,AH,Wild Radish
Rhamnus crocea,Rhamnaceae,S,Spiny Redberry
Rhamnus ilicifolia,Rhamnaceae,S,"Hollyleaf Redberry, Buckthorn"
Rhododendron columbianum,Ericaceae,S,Western Labrador Tea
Rhododendron macrophyllum,Ericaceae,S,Coast Rhododendron
Rhododendron occidentale,Ericaceae,S,Western Azalea
Rhus integrifolia,Anacardiaceae,S,Lemonade Berry
Ribes aureum,Grossulariaceae,S,Golden Currant
Ribes cereum,Grossulariaceae,S,Wax Currant
Ribes malvaceum,Grossulariaceae,S,Chaparral Currant
Ribes nevadense,Grossulariaceae,S,Sierra Currant
Ribes roezlii,Grossulariaceae,S,Sierra Gooseberry
Ricinus communis,Euphorbiaceae,S,Castor Bean
Robinia pseudoacacia,Fabaceae,T,Black Locust
Rosa californica,Rosaceae,S,California Wild Rose
Rosa gymnocarpa,Rosaceae,S,Wood Rose
Rubus armeniacus,Rosaceae,S,Himalayan Blackberry
Rubus parviflorus,Rosaceae,S,Thimbleberry
Rubus spectabilis,Rosaceae,S,Salmonberry
Rubus ursinus,Rosaceae,S,Pacific Blackberry
Rumex acetosella,Polygonaceae,PH,Sheep Sorrel
Rumex crispus,Polygonaceae,PH,Curly Dock
Salix,Salicaceae,S,Willows
Salsola tragus,Chenopodiaceae,AH,"Russian Thistle, Tumbleweed"
Saltugilia splendens,Polemoniaceae,AH,Splendid Woodland-gilia
Salvia apiana,Lamiaceae,S,White Sage
Salvia columbariae,Lamiaceae,AH,Chia
Salvia leucophylla,Lamiaceae,S,Purple Sage
Salvia mellifera,Lamiaceae,S,Black Sage
Salvia sonomensis,Lamiaceae,S,Sonoma Sage
Sambucus racemosa,Adoxaceae,S,Red Elderberry
Sanicula arguta,Apiaceae,PH,Southern California Sanicle
Sanicula bipinnatifida,Apiaceae,PH,Purple Sanicle
Sanicula crassicaulis,Apiaceae,PH,Pacific Sanicle
Schinus molle,Anacardiaceae,T,Peruvian Pepper Tree
Schinus terebinthifolius,Anacardiaceae,T,Brazilian Pepper Tree
Schoenoplectus americanus,Cyperaceae,PG,American Bulrush
Scrophularia californica,Scrophulariaceae,PH,Calfornia Figwort
Sedum spathulifolium,Crassulaceae,PH,Pacific Stonecrop
Senecio aronicoides,Asteraceae,PH,California Groundsel
Senecio triangularis,Asteraceae,PH,Arrowleaf Ragwort
Senecio vulgaris,Asteraceae,AH,Common Groundsel
Senegalia greggii,Fabaceae,T,Catclaw
Sequoia sempervirens,Cupressaceae,T,Coast Redwood
Sequoiadendron giganteum,Cupressaceae,T,"Big Tree, Giant Sequoia"
Sidalcea,Malvaceae,PH,"Checkerblooms, Globemallows"
Silene gallica,Caryophyllaceae,AH,Windmill Pink
Silene laciniata,Caryophyllaceae,PH,Mexican or Indian Pink
Silybum marianum,Asteraceae,AH,Milk Thistle
Sisymbrium orientale,Brassicaceae,AH,Eastern Mustard
Sisyrinchium bellum,Iridaceae,PH,Blue-eyed Grass
Solanum douglasii,Solanaceae,PH,Douglas Nightshade
Solanum elaeagnifolium,Solanaceae,S,Silverleaf Nightshade
Solanum xanti,Solanaceae,S,Chaparral Nightshade
Sonchus asper,Asteraceae,AH,Prickly Sow-thistle
Sonchus oleraceus,Asteraceae,AH,Common Sow-thistle
Spartium junceum,Fabaceae,S,Spanish Broom
Stachys,Lamiaceae,PH,Hedge Nettles
Stanleya pinnata,Brassicaceae,PH/S,Desert Princesplume
Stephanomeria virgata,Asteraceae,AH,Twiggy Wreath Plant
Stipa hymenoides,Poaceae,PG,Indian Ricegrass
Stipa miliacea,Poaceae,PG,Smilo Grass
Stipa pulchra,Poaceae,PG,Purple Needlegrass
Streptanthus tortuosus,Brassicaceae,AH/PH,Mountain Jewelflower
Suaeda nigra,Chenopodiaceae,S,Bush Seepweed
Suaeda taxifolia,Chenopodiaceae,S,Woolly Seablite
Tamarix,Tamaricaceae,T/S,Tamarisks
Tauschia,Apiaceae,PH,Tauschias
Taxus brevifolia,Taxaceae,T,Pacific Yew
Thermopsis californica,Fabaceae,PH,California False-lupine
Thysanocarpus,Brassicaceae,AH,Fringe & Lace Pods
Torilis arvensis,Apiaceae,AH,Hedge Parsley
Toxicodendron diversilobum,Anacardiaceae,S/V,Western Poison Oak
Toxicoscordion fremontii,Melanthiaceae,PH,Star Lily
Tribulus terrestris,Zygophyllaceae,AH,Puncture Vine
Trichostema lanatum,Lamiaceae,S,"Woolly Bluecurls, Romero"
Trifolium,Fabaceae,AH,Clovers
Triphysaria eriantha,Plantaginaceae,AH,Johnny-tuck
Triteleia hyacinthina,Themidaceae,PH,Wild Hyacinth
Triteleia laxa,Themidaceae,PH,"Grass Nuts, Ithuriel's spear"
