Term,Definition
Delphinium cardinale,Scarlet or Cardinal Larkspur
Drymocallis glandulosa,Sticky Cinquifoil
Dudleya pulverulenta,Chalky Live-forever
Eriastrum signatum,Maroon-spotted Woolly Star
Ericameria bloomeri,Bloomer's Goldenbush
Eriodictyon crassifolium,Thickleaf Yerba Santa
Eriogonum cinereum,Ash or Gray Coast Buckwheat
Eriogonum parvifolium,Dune Buckwheat
Eriogonum umbellatum,Munz Yellow Buckwheat
Eriophyllum lanatum,Woolly Sunflower
Gayophytum diffusum,Diffuse Gayophytum
Gilia ochroleuca,Desert Gilia
Isocoma menziesii,Coastal Goldenbush
Lathyrus sulphureus,Snub Pea
Leptosyne bigelovii,Bigelow Coreopsis
Linaria dalmatica,Dalmatian Toadflax
Malacothrix saxatilis,Tenuated Cliff-aster
Nasturtium officinale,Water Cress
Opuntia littoralis,Coastal Prickly Pear
Platanthera dilatata,Sierra Bog Orchid
Populus trichocarpa,Black Cottonwood
Pseudognaphalium microcephalum,White Everlasting
Rhododendron columbianum,Western Labrador Tea
Ribes cereum,Wax Currant
Ribes nevadense,Sierra Currant
Saltugilia splendens,Splendid Woodland-gilia
Sanicula arguta,Southern California Sanicle
Senecio triangularis,Arrowleaf Ragwort
Senegalia greggii,Catclaw
Solanum elaeagnifolium,Silverleaf Nightshade
Solanum xanti,Chaparral Nightshade
Suaeda nigra,Bush Seepweed
Suaeda taxifolia,Woolly Seablite
Washingtonia robusta,Mexican Fan Palm
Berberis aquifolium,Oregon-grape
Calyptridium umbellatum,Pussy Paws
Marah fabacea,California Man-root
Hesperocyparis,Cypress
Calandrinia ciliata,Redmaids
Lysimachia arvensis,Scarlet Pimpernel
Kalmia polifolia,Mountain Laurel
Boechera,Rock Cresses
Achillea millefolium,White Yarrow
Galium aparine,Goosegrass
Erodium cicutarium,Redstem Filaree
Heterotheca sessiliflora,Hairy Goldenaster
Poa pratensis,Kentucy Bluegrass
Quercus berberidifolia,California Scrub Oak
Portulaca oleracea,Common Purslane
Abronia,Sand-verbena
Acmispon ,Lotus or Hosackia species
Aegilops,Goatgrass
Allium,Onions
Ambrosia psilostachya var. californica,Western Ragweed
Ammophila arenaria,European Beachgrass
Antirrhinum multiflorum,Sticky Snapdragon
Avena,Oats
Bolboschoenus maritimus var. paludosus,Saltmarsh Bulrush
Brassica nigra,Black Mustard
Bromus madritensis ssp. rubens,Red Brome
Carex,Sedges
Castilleja applegatei ssp. martinii,Martin Indian Paintbrush
Chaenactis ssp.,Douglas' Dustymaiden
Chamaesyce  albomarginata,Rattlesnake Spurge
Chamerion  angustifolium,Fireweed
Chenopodium californicum,"California Goosefoot, Soap Plant"
Chenopodium murale,Nettle-leaved Goosefoot
Conyza  canadensis,Common Horseweed
Cynoglossum grande,Hound's Tongue
Dichelostemma capitatum,Blue Dicks
Diplacus  aurantiacus,Bush Monkeyflower
Diplacus  calycinus,Fuzzy Bush Monkeyflower
Diplacus  longiflorus,Sticky Bush Monkeyflower
Dipsacus fullonum & sativus,Teasel
Elymus caput-medusae,Medusa Head
Elymus condensatus,Giant Wildrye
Elymus triticoides,Creeping Wildrye
Eremocarpus  setiger,"Dove Weed, Turkey Mullein"
Eremothera boothii sspp.,Booth Shreading Primrose
Erythranthe guttata ,Common Streamside Monkeyflower
Euphorbia ,Spurges
Extriplex  californica,California Orach
Festuca arundinacea,Tall Fescue
Frangula californica ssp. tomentella,Hoary Coffeeberry
Fritillaria,Fritillaria
Gilia capitata ssp. abrotanifolia,Blue Field Gilia
Hedera,Ivy
Helminthotheca  echioides,Bristly Ox-tongue
Hypericum perforatum,St. John's Wort
Juncus mexicanus,"Mexican Rush, Wire Grass"
Leptosiphon aureus,Desert Gold
Lolium multiflorum ,Italian Ryegrass
Melilotus alba,White Sweetclover
Melilotus indica,"Sourclover, Yellow Sweetclover"
Minuartia douglasii,Douglas Sandwort
Morella  californica,California Myrtle
Orobanche fasciculata,Clustered Broom-rape
Pennisetum setaceum,African Fountain Grass
Peritoma arborea,Bladderpod
Phoradendron leucarpum ssp. tomentosum,Oak or Hairy Mistletoe
Polygala cornuta,Milkwort
Polygonum aviculare ssp. depressum,"Common Knotweed, Doorweed"
Polypodium,Polypody Fern
Primula  hendersonii,Henderson's Shooting-star
Primula  jeffreyi,Sierra Shooting-star
Prosopis glandulosa,Honey Mesquite
Pseudognaphalium bioletti,Bicolored Everlasting
Quercus vaccinifolia,Huckleberry Oak
Raphanus sativus,Wild Radish
Salix,Willows
Sambucus nigra ssp. caerulea,Blue Elderberry
Schinus terebinthifolius,Brazilian Pepper Tree
Senecio flaccidus var. douglasii,Shrubby Butterweed
Stipa hymenoides,Indian Ricegrass
Stipa miliacea,Smilo Grass
Stipa pulchra,Purple Needlegrass
Tamarix,Tamarisks
Toxicoscordion  fremontii,Star Lily
Urtica dioica ssp. holosericea,Hoary or Giant Stinging Nettle
Veronica anagallis-aquatica,Water or Common Speedwell
Veronica peregrina ssp. xalapensis,Purslane Speedwell
Vulpia ,Fescue
Wyethia,Mule Ears
